Iteration	Posterior	Likelihood	Prior	rate_log_sd	tree_length
0	-8875.031	-9307.517	432.4861	1.33059	3.607487
6	-8865.464	-9298.08	432.6159	1.380959	3.502668
12	-8869.314	-9301.614	432.3004	1.310574	3.726614
18	-8869.95	-9303.364	433.4143	1.383975	3.029365
24	-8867.733	-9298.786	431.053	1.307948	4.439078
30	-8874.241	-9305.868	431.6278	1.277098	4.131178
36	-8880	-9311.335	431.3349	1.26099	4.306449
42	-8878.266	-9310.726	432.4598	1.41069	3.576231
48	-8886.346	-9318.78	432.4343	1.299581	3.65553
54	-8877.043	-9308.546	431.5034	1.145874	4.276254
60	-8888.788	-9320.668	431.8794	1.18007	4.043117
66	-8886.396	-9318.215	431.8198	1.239615	4.043117
72	-8884.311	-9316.318	432.0063	1.334798	3.881926
78	-8883.161	-9315.089	431.9277	1.326073	3.932024
84	-8885.687	-9317.804	432.1171	1.254914	3.864172
90	-8874.207	-9306.139	431.9319	1.278286	3.956967
96	-8881.949	-9313.851	431.9016	1.22347	4.005635
102	-8873.209	-9304.098	430.8893	1.199387	4.592139
108	-8883.554	-9314.486	430.9322	1.181599	4.578082
114	-8862.004	-9294.51	432.5057	1.326078	3.598711
120	-8856.334	-9287.564	431.2296	1.293071	4.347807
126	-8860.777	-9292.32	431.5435	1.281651	4.176482
132	-8853.204	-9285.006	431.8016	1.2477	4.04891
138	-8865.118	-9296.791	431.6734	1.285917	4.10017
144	-8866.745	-9298.355	431.6093	1.258676	4.152137
150	-8866.534	-9297.755	431.2206	1.167303	4.423913
156	-8872.456	-9303.668	431.2118	1.176065	4.423913
162	-8872.137	-9304.295	432.1579	1.332195	3.796313
168	-8875.418	-9307.426	432.0083	1.296636	3.902668
174	-8879.069	-9311.246	432.1772	1.255813	3.82912
180	-8885.751	-9316.871	431.1205	1.170637	4.47839
186	-8877.198	-9308.236	431.0373	1.253797	4.47839
192	-8863.106	-9295.19	432.0846	1.320738	3.845059
198	-8856.597	-9288.658	432.061	1.344371	3.845059
204	-8875.59	-9307.161	431.5716	1.379006	4.105165
210	-8875.233	-9307.921	432.6872	1.307143	3.504148
216	-8866.583	-9298.551	431.9674	1.37659	3.880271
222	-8873.585	-9305.524	431.9384	1.356023	3.908714
228	-8872.5	-9304.835	432.3356	1.379245	3.666556
234	-8864.017	-9295.382	431.3651	1.302352	4.265956
240	-8868.104	-9300.438	432.3339	1.321149	3.701143
246	-8857.367	-9289.589	432.2219	1.305905	3.774583
252	-8857.209	-9289.043	431.8336	1.345588	3.974709
258	-8861.778	-9292.887	431.1091	1.269425	4.429183
264	-8849.757	-9281.177	431.4198	1.285041	4.244751
270	-8848.397	-9280.152	431.7552	1.285041	4.054069
276	-8860.804	-9291.724	430.92	1.196858	4.576334
282	-8860.8	-9292.347	431.5464	1.282375	4.174418
288	-8866.259	-9297.798	431.5392	1.289584	4.174418
294	-8865.373	-9297.406	432.0332	1.357911	3.853207
300	-8862.979	-9295.799	432.8199	1.357911	3.396853
306	-8863.206	-9295.535	432.3292	1.403145	3.656384
312	-8855.413	-9287.554	432.1403	1.249082	3.854195
318	-8857.734	-9289.429	431.6954	1.250904	4.107603
324	-8862.331	-9294.568	432.2369	1.237254	3.805487
330	-8861.88	-9294.824	432.9437	1.400677	3.298962
336	-8863.459	-9296.077	432.6176	1.320154	3.537115
342	-8869.277	-9301.907	432.6297	1.308054	3.537115
348	-8863.216	-9294.307	431.0909	1.296204	4.424325
354	-8871.411	-9303.014	431.6032	1.251371	4.159755
360	-8858.174	-9290.151	431.977	1.318351	3.908173
366	-8867.631	-9299.553	431.9221	1.373246	3.908173
372	-8870.039	-9302.394	432.3544	1.307716	3.697061
378	-8876.985	-9309.33	432.3447	1.322618	3.694005
384	-8862.02	-9293.409	431.3888	1.287682	4.260834
390	-8868.628	-9300.434	431.8063	1.345953	3.990098
396	-8855.892	-9288.041	432.1488	1.257574	3.844434
402	-8865.632	-9297.121	431.4892	1.255668	4.222081
408	-8855.596	-9286.225	430.6296	1.212955	4.730022
414	-8863.288	-9295.118	431.8299	1.294341	4.006113
420	-8837.32	-9268.663	431.3432	1.185719	4.344311
426	-8853.406	-9284.443	431.0377	1.187957	4.515239
432	-8862.729	-9293.978	431.2484	1.164845	4.409608
